id,predicted_price
2591820310,376026.53
7974200820,676214.3
7701450110,1106092.1
9522300010,1544236.8
9510861140,703338.1
1761300310,247264.9
7732410120,782257.5
7010701383,563230.75
291310170,436950.47
4232901990,602848.9
6840701125,641338.4
3971700580,385704.44
4202400078,234205.69
6064800090,352476.9
2626119028,348150.22
3303980660,1064620.6
862000020,751561.8
2386000070,992812.5
1138000450,360817.78
1775800420,455772.75
2291401425,328281.12
2025770560,1122352.9
3525069037,696562.8
9324800450,563990.25
8080400136,508088.78
8651540040,497668.75
9407001790,242955.72
1773101530,136939.66
9432900250,348719.44
1794500695,512728.1
2220069003,310951.7
923000120,538694.2
5728000060,554502.9
16000200,230672.97
1926059094,434265.97
6672900220,1017190.3
3629860060,845868.94
1822069109,389973.1
6675500105,371612.7
249000180,1870914.4
226059065,505410.94
396100110,272294.66
9264450460,361182.72
7853361210,399103.44
9474700020,288968.0
421000455,231034.47
3755200220,421484.62
7960100075,461581.72
9477100490,386928.7
9138100350,857231.7
1624049275,439248.8
2770606890,462185.2
1157200189,419149.7
2770601800,509680.6
9301300805,546528.06
2325069032,1216644.6
1021079099,393449.84
7215730040,721043.94
1853200080,487916.84
3224600340,666253.3
3222049120,398465.66
2113700025,276019.3
7893207925,202723.38
3586501085,573362.6
8024200010,444681.38
7116500705,179508.83
1598600209,323269.88
7204200025,832530.2
4206901505,533239.3
2937300440,912404.44
7205000180,329160.47
8718500665,359796.56
5318101765,877102.75
4122700020,910820.44
8078700020,538168.9
3303980680,928218.06
8924100372,1135398.8
2781270210,213844.75
519000043,536170.94
3225069301,1577837.5
151000075,724501.4
2297400020,424774.97
6617500085,566621.7
104510180,243322.08
3528900060,1006405.44
3345100286,544615.5
1226039130,452107.72
8712100720,744418.5
3037200010,398602.1
3626039268,403242.62
104510230,250134.5
5112800060,413405.28
6072400280,629593.25
5317100570,1239169.8
9528102993,502195.7
2919201095,520384.88
6181400920,235141.4
185000161,253309.52
8691400010,760566.06
3345700165,545985.75
6151800486,277634.75
4340000080,1285501.1
4136960010,683077.0
3634100030,366373.7
1624059224,1039962.6
2788400090,237980.38
9828200762,442557.12
7524400250,589834.3
3528000290,801528.0
5700003630,2079100.2
2720069019,255166.28
7227501170,235602.47
2397101270,606996.2
6792100090,689481.1
2770602265,564067.2
3971700937,292448.47
422049203,226601.5
3076500830,277818.28
1423400260,277412.16
9161100795,436720.53
3126049052,531362.56
5100401468,412151.5
514500235,485858.9
1423200170,172665.84
1402100070,364288.84
624110020,760254.25
2407000145,202819.88
1890000225,873828.2
1320069271,330276.44
5490700085,358474.5
263000155,478863.1
3726800201,455262.3
5153200358,292170.8
2725079018,707932.3
7165700200,301653.25
9429000170,545914.94
8718500075,352006.94
1760650950,304623.4
1068000559,1333377.8
4113800500,573535.44
4077800507,486826.88
2725069150,753394.6
4008400035,631935.06
7016310270,423830.53
1432701230,220394.89
3278606050,387354.75
2473350710,388485.3
2185000685,160099.92
7792000025,371593.22
6868200029,502050.6
624069003,801356.8
7431500280,902187.5
3296000040,568551.94
1118001215,1819429.1
6453900040,788774.1
333100209,705941.44
34001765,585007.0
8946700100,375556.3
5561401210,618338.0
6671900095,386403.6
3275850020,684423.5
3876300600,412897.78
1450900020,263812.56
8562780280,347674.75
7663700973,337673.4
2126049032,368285.0
1823059159,170604.25
3438503426,266726.88
9297301495,494080.38
7140700850,356057.47
7942601805,769303.94
2555900030,352997.66
2887970040,301723.47
7419700010,572193.1
2239000011,347072.16
9283800050,429173.88
9407001340,273023.75
217500140,531863.0
7212660520,265070.22
3298201170,314200.03
3057000400,283792.1
6865200444,402526.44
6071600340,507477.62
6821600005,742509.8
1235100371,797658.8
7796450340,366441.12
3603000410,159016.19
9297300255,468697.25
9126100850,497997.78
2770601462,437270.22
2599001500,210934.94
1102000095,621077.9
1853080640,933790.4
9551201585,836807.94
3438500796,278750.1
7518504291,516250.0
9269200340,464475.84
715010130,1714121.9
1982201485,518808.6
9526500080,391497.53
